Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2018,9,September,September-2018,1224,0,6,,
B01029,ZION CAR SERVICE INC.,,2017,9,September,September-2017,30,0,4,,
B02026,A RIDE FOR ALL LLC,,2016,2,February,February-2016,57,0,1,,
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2018,5,May,May-2018,4680,0,20,,
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2016,7,July,July-2016,3440,0,57,,
B01452,AREAS TRANSP INC,,2021,3,March,March-2021,1047,0,8,,
B02849,BROOKLYN RIDES CORP,,2016,4,April,April-2016,1158,0,7,,
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2020,12,December,December-2020,277,0,4,,
B01009,UNITED LIMO C/M SVC CORP,,2019,8,August,August-2019,284,0,7,,
B02550,AGAPE LUXURY CORP.,,2016,10,October,October-2016,24873,0,267,,
B03153,GYPSY TRANSPORTATION CORP.,,2019,11,November,November-2019,87,0,4,,
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2019,7,July,July-2019,392,0,3,,
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2018,5,May,May-2018,1701,0,9,,
B02379,THE OPTION TRANSPORTATION CORP.,,2018,10,October,October-2018,3269,0,27,,
B00053,CHARGE AND RIDE INC,,2017,12,December,December-2017,859,0,73,,
B00937,RIVERSIDE RADIO DISPATCHER,,2018,12,December,December-2018,31127,0,155,,
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2019,2,February,February-2019,79,0,5,,
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2017,12,December,December-2017,3279,0,35,,
B03281,JARPA TRANSPORTATION CORP.,,2020,11,November,November-2020,264,0,13,,
B02552,INTERSTATE LUXURY LIMOUSINES INC.,,2016,5,May,May-2016,5832,0,25,,
B01233,NEW LACONIA RAD DISP INC,,2017,10,October,October-2017,11291,0,59,,
B00477,INTA-BORO ACRES INC,,2020,2,February,February-2020,6795,0,120,,
B01606,LA MEXICANA EXPRESS INC.,,2020,4,April,April-2020,524,0,3,,
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2020,3,March,March-2020,12,0,3,,
B02852,OP CAR SERVICE INC.,,2020,3,March,March-2020,5,0,3,,
B02784,SMILE TRANSPORTATION GROUP INC,,2019,11,November,November-2019,8676,0,43,,
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,2015,9,September,September-2015,2346,0,17,,
UBER,UBER,UBER,2015,10,October,October-2015,4359759,0,26875,,
B02505,TRELAWNY CAR SERVICE INC,,2019,1,January,January-2019,2309,0,15,,
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2016,11,November,November-2016,21653,0,87,,
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2021,9,September,September-2021,200,0,7,,
B03015,TRI-COUNTY BLACK CARS INC,,2018,5,May,May-2018,1980,0,7,,
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2017,9,September,September-2017,62,0,14,,
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2020,6,June,June-2020,360,0,4,,
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2018,7,July,July-2018,208,0,2,,
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2020,7,July,July-2020,419,0,5,,
B03202,JUPITER SELECT LLC,,2019,9,September,September-2019,300,0,7,,
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2022,2,February,February-2022,2398,0,7,,
B03020,5J TRANSPORTATION INC.,,2020,7,July,July-2020,803,0,6,,
B03078,EQUALTRANS LLC,,2019,8,August,August-2019,24,0,4,,
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2016,8,August,August-2016,35,0,7,,
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2019,9,September,September-2019,860,0,34,,
B02248,HYBRID LIMO EXPRESS INC.,,2020,3,March,March-2020,300,0,2,,
B03018,AUREUS LLC,JAVA CAR & LIMOUSINE SERVICE,2020,10,October,October-2020,37,0,2,,
B01970,GRAFE STREET SERVICE CORP.,,2016,1,January,January-2016,187,0,11,,
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2015,12,December,December-2015,75552,0,800,,
B02248,HYBRID LIMO EXPRESS INC.,,2018,12,December,December-2018,638,0,3,,
B00310,WATSON CAR SERVICE INC.,,2021,1,January,January-2021,21320,0,122,,
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2018,5,May,May-2018,1496,0,7,,
B01083,BROAD DYCKMAN C/S INC,,2022,2,February,February-2022,1603,0,11,,
B03150,INDRIVER NY LLC,INDRIVER,2018,10,October,October-2018,1751,0,526,,
B02167,MADISON LIMOUSINE INC,,2019,6,June,June-2019,62,0,5,,
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2017,1,January,January-2017,2,0,2,,
B00882,U N C CAR & LIMO SERVICE,,2016,4,April,April-2016,432,0,15,,
B02245,OCEANA CAR AND LIMO,,2021,8,August,August-2021,1301,0,5,,
B02834,811 TRANSIT CORP,,2018,9,September,September-2018,3076,0,20,,
B00449,A KINGS HWY C/S INC.,,2016,9,September,September-2016,4581,0,16,,
B01764,QUICK RIDE CORP.,,2017,11,November,November-2017,797,0,11,,
B00296,PRIME TIME TRANS. INC,,2018,12,December,December-2018,761,0,32,,
B01339,R C AUDUBON SVC INC,,2016,9,September,September-2016,13368,0,128,,
B02664,CORPORATE CAR LTD.,,2015,6,June,June-2015,164,0,31,,
b01700,LINDEN EXPRESS CAR SERVICES INC.,,2018,11,November,November-2018,1260,0,6,,
B01343,ALL PEOPLE CAR SERVICE INC.,,2018,1,January,January-2018,1300,0,11,,
B02689,OCS LIMO CORP.,,2017,7,July,July-2017,34,0,2,,
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2016,3,March,March-2016,772,0,21,,
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2017,12,December,December-2017,11896,0,63,,
B01663,CIBAO RADIO DISPATCH,,2019,3,March,March-2019,8116,0,44,,
B02751,RELIANCE GROUP INC,,2017,9,September,September-2017,39,0,6,,
B03105,MAZNA TRANSPORTATION CORPORATION,,2018,7,July,July-2018,244,0,7,,
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2015,12,December,December-2015,2279,0,12,,
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2019,7,July,July-2019,2960,0,25,,
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2021,4,April,April-2021,127,0,4,,
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2021,8,August,August-2021,5,0,2,,
B02710,"GOLDEN AGE TRANSIT,LLC",,2017,7,July,July-2017,32,0,4,,
B00448,DIAL CAR INC.,,2018,2,February,February-2018,6755,0,172,,
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2018,2,February,February-2018,61,0,11,,
B01601,YOURS CAR SERVICE INC,,2020,1,January,January-2020,1403,0,9,,
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2021,11,November,November-2021,251,0,30,,
B02634,VETERANS RADIO DISPATCHER CORP.,,2016,4,April,April-2016,33861,0,201,,
B03011,GOOD DAY TRANSPORTATION INC,,2021,7,July,July-2021,802,0,5,,
B02496,MAHAICA EXPRESS SERVICE INC.,,2017,6,June,June-2017,93,0,9,,
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2020,12,December,December-2020,3627,0,25,,
B02491,CALL THREES LLC,,2016,1,January,January-2016,1306,0,9,,
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2019,4,April,April-2019,1311,0,5,,
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2022,3,March,March-2022,1120,0,33,,
B02389,"EMBARQUE N.Y., INC.",,2017,8,August,August-2017,629,0,11,,
B01525,NORTHSIDE BK LLC,,2016,3,March,March-2016,11735,0,144,,
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2018,9,September,September-2018,1934,0,11,,
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2019,4,April,April-2019,13977,0,66,,
B02107,APOLLO RADIO DISPATCH INC.,,2020,9,September,September-2020,4586,0,47,,
B02795,LIMO SEVEN TRANSPORTATION INC,,2017,5,May,May-2017,216,0,30,,
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,2019,4,April,April-2019,7597,0,28,,
B01215,ECUADOOR CORP,,2019,8,August,August-2019,3968,0,22,,
B00937,RIVERSIDE RADIO DISPATCHER,,2016,5,May,May-2016,62547,0,306,,
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2018,4,April,April-2018,17637,0,126,,
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2019,7,July,July-2019,444,0,7,,
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2021,7,July,July-2021,267,0,4,,
B00053,CHARGE AND RIDE INC,,2015,12,December,December-2015,1520,0,79,,
B01559,MUNKACS CAR SVC LTD,,2020,1,January,January-2020,3368,0,14,,
B02881,DIANE CAR AND LIMO SERVICE LLC,,2020,1,January,January-2020,5635,0,33,,
B00837,CAREY LIMO N Y INC,,2016,2,February,February-2016,11230,0,238,,
B03296,ZIP CONNECTIONS INC,,2021,5,May,May-2021,38,0,6,,
B00972,N.J.M.INC.,MID ISLAND CAR SVCE,2019,6,June,June-2019,3293,0,14,,
B02814,BELL LX INC,,2021,6,June,June-2021,4128,0,20,,
B00789,VITAL TRANSPORTATION INC.,,2021,9,September,September-2021,2383,0,181,,
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2020,2,February,February-2020,5387,0,28,,
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2019,2,February,February-2019,3611,0,23,,
B02874,"CAPSTAR CHAUFFEURS,INC.",,2015,11,November,November-2015,94,0,7,,
B01849,JOE PAL LIMOUSINE LTD,,2015,7,July,July-2015,137,0,10,,
b01091,A & R GOLDEN EXP INC,,2016,2,February,February-2016,6127,0,9,,
B01083,BROAD DYCKMAN C/S INC,,2021,10,October,October-2021,4935,0,26,,
B01349,CAPRICORN LIMO SVC INC,,2016,1,January,January-2016,3,0,1,,
B00888,ACE C/L SVCE INC,,2016,2,February,February-2016,2514,0,51,,
B02397,CHICO EXPRESS CORP. 2,,2021,3,March,March-2021,161,0,1,,
B03011,GOOD DAY TRANSPORTATION INC,,2018,9,September,September-2018,23,0,3,,
B01854,EUROPE LIMOUSINE SERVICE INC,,2021,12,December,December-2021,1380,0,137,,
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2019,6,June,June-2019,15010,0,60,,
B03206,KIDMOTO TECHNOLOGIES LLC,,2021,12,December,December-2021,172,0,16,,
B02397,CHICO EXPRESS CORP. 2,,2016,6,June,June-2016,3897,0,11,,
B02695,SEE USA TOURS INC.,,2016,2,February,February-2016,127,0,4,,
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2021,3,March,March-2021,2232,0,6,,
B03157,CAPRICE CAR SERVICE CORP.,,2019,3,March,March-2019,8,0,7,,
B02947,"ONIX TRANSPORTATION, INC",,2017,6,June,June-2017,2458,0,23,,
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2017,8,August,August-2017,25,0,3,,
B02898,SANO CAR LLC,,2020,6,June,June-2020,3017,0,16,,
B02550,AGAPE LUXURY CORP.,,2017,6,June,June-2017,31475,0,307,,
B03361,D MANNY SAFE RIDE CORP.,,2021,10,October,October-2021,174,0,1,,
B02658,ASCONA CAR SERVICE INC.,,2021,12,December,December-2021,603,0,5,,
B00225,DELANCEY TRANSPORTATION INC.,,2020,10,October,October-2020,7867,0,73,,
B01285,UNION RADIO DISPATCH INC,,2020,3,March,March-2020,6854,0,50,,
B00693,BUSHWICK CAR SVCE INC,,2016,4,April,April-2016,13952,0,85,,
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2018,11,November,November-2018,1565,0,35,,
B02664,CORPORATE CAR LTD.,,2016,12,December,December-2016,226,0,44,,
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2017,9,September,September-2017,1581,0,19,,
B01984,NY 88 EXPRESS CORP.,,2020,6,June,June-2020,2380,0,15,,
B02133,"TWR CAR & LIMO, INC.",,2016,6,June,June-2016,3144,0,43,,
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2016,8,August,August-2016,25,0,2,,
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2020,10,October,October-2020,249,0,4,,
B01215,ECUADOOR CORP,,2016,1,January,January-2016,21172,0,75,,
B02947,"ONIX TRANSPORTATION, INC",,2018,5,May,May-2018,12181,0,63,,
B02144,"SILVER STAR LIMOUSINES, INC.",,2022,2,February,February-2022,210,0,4,,
B01087,ELITE LIMO PLUS INC,,2019,11,November,November-2019,19092,0,414,,
B02316,"AJAY CAR SERVICE, LLC.",,2017,3,March,March-2017,668,0,7,,
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2018,8,August,August-2018,1537,0,16,,
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2019,6,June,June-2019,5560,0,26,,
B01087,ELITE LIMO PLUS INC,,2020,9,September,September-2020,6441,0,154,,
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2019,11,November,November-2019,96,0,3,,
B02553,"NEW JUBILEE CAR SERVICE, INC.",,2018,4,April,April-2018,2740,0,26,,
B01336,BAY EXPRESS CORP.,,2020,8,August,August-2020,1538,0,9,,
B00693,BUSHWICK CAR SVCE INC,,2019,6,June,June-2019,155,0,1,,
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,2019,5,May,May-2019,1607,0,35,,
B00095,LIBERTY CAR SERVICE INC.,,2018,3,March,March-2018,5888,0,28,,
B02406,MY SEDAN LLC,,2020,10,October,October-2020,30,0,3,,
B03161,LA MEXICANA EXPRESS 2 INC.,,2020,3,March,March-2020,237,0,9,,
B03380,ELECTRIC PEPPERS LLC,,2021,10,October,October-2021,17087,0,48,,
B03144,JUST A MOMENT CAR SERVICE INC,,2021,1,January,January-2021,189,0,5,,
B01593,"NOVAK GLOBAL, INC.",SKYWAY CAR SERVICE,2015,11,November,November-2015,2067,0,12,,
B01614,R TRANSPORT INC,,2017,3,March,March-2017,848,0,8,,
B02331,"CHICO EXPRESS LIMO, INC.",,2017,5,May,May-2017,2254,0,9,,
B02737,BWJ GROUP INC,,2016,11,November,November-2016,6086,0,29,,
B01341,A NEW DAY RAD DISP INC,,2020,10,October,October-2020,137,0,4,,
B02653,NEW COLLEGE CAR SVCE INC,,2021,11,November,November-2021,3823,0,29,,
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2016,4,April,April-2016,9517,0,223,,
B01190,NEW BELL CAR SERVICE CORP,,2018,10,October,October-2018,4275,0,23,,
B00900,BIG Q CAR SVC. INC.,,2015,12,December,December-2015,59255,0,206,,
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2018,10,October,October-2018,5326,0,140,,
B01016,810 CAR SVCE CORP,,2018,2,February,February-2018,6542,0,28,,
B03085,A & A AMAZOON TRANSPORTATION INC.,,2021,6,June,June-2021,43,0,11,,
B02532,COZY RIDE LIMOUSINE INC,COZY TRANSIT,2015,9,September,September-2015,1018,0,11,,
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2018,6,June,June-2018,1149,0,8,,
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2020,10,October,October-2020,432,0,14,,
B01963,AFRO CAR SERVICE CORP,,2020,1,January,January-2020,1651,0,13,,
B02416,"NEW STORM CAR SERVICE, INC.",,2022,1,January,January-2022,3825,0,7,,
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2019,2,February,February-2019,179,0,5,,
B02252,ASIANA LIMOUSINE INC.,,2015,10,October,October-2015,195,0,5,,
B02658,ASCONA CAR SERVICE INC.,,2018,4,April,April-2018,1783,0,10,,
B00608,SUMMIT CORPORATE CAR INC.,,2020,11,November,November-2020,421,0,107,,
B02245,OCEANA CAR AND LIMO,,2019,3,March,March-2019,1935,0,6,,
B01537,S.I. SPEED INC.,,2018,12,December,December-2018,3842,0,9,,
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2017,4,April,April-2017,3093,0,22,,
B03092,USA LIMOUSINE SERVICE CORP,VPZ EXECUTIVE LIMO,2019,12,December,December-2019,1117,0,17,,
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2015,10,October,October-2015,1540,0,10,,
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2018,3,March,March-2018,2934,0,9,,
B00802,BELL CAR SVC INC,,2020,7,July,July-2020,2902,0,14,,
B01196,DIPLO RAD DISP INC,,2020,1,January,January-2020,10977,0,73,,
B03008,CROWN CAR & LIMO SERVICE INC.,,2019,7,July,July-2019,74,0,5,,
B03242,U1ST TRANSPORTATION SERVICES LLC,,2020,9,September,September-2020,196,0,5,,
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2021,5,May,May-2021,117,0,4,,
B03240,ARECIBO EXPRESS INC.,,2020,6,June,June-2020,39,0,7,,
B01777,PREMIUM RADIO DISP & MULTI SVC,,2018,7,July,July-2018,9601,0,86,,
B00170,EMUNAH CAR SERVICE INC,,2016,4,April,April-2016,1049,0,7,,
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,2018,7,July,July-2018,608,0,24,,
b00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2016,1,January,January-2016,11262,0,23,,
B02731,EMES OF BOROPARK CAR SERVICE INC,,2018,8,August,August-2018,504,0,4,,
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2016,1,January,January-2016,107,0,9,,
B02447,LUIGI MEMO INC.,VIEW,2019,3,March,March-2019,25,0,11,,
B00837,CAREY LIMO N Y INC,,2016,4,April,April-2016,12753,0,245,,
B01066,DOMINICANA RAD DISP INC,,2018,6,June,June-2018,9002,0,52,,
B03331,GIGI NYC INC,,2021,5,May,May-2021,332,0,3,,
B02793,SEAVIEW ISLAND CAR SERVICE,,2019,5,May,May-2019,17,0,3,,
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2018,12,December,December-2018,5639,0,35,,
B01315,"V.I.T. CAR SERVICE, INC.",,2016,5,May,May-2016,40365,0,163,,
B00387,FORTUNE LIMOUSINES INC,,2015,10,October,October-2015,100,0,10,,
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2021,8,August,August-2021,807,0,138,,
B00221,PROFESSIONAL CAR SERVICE INC,,2020,11,November,November-2020,4307,0,38,,
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2021,2,February,February-2021,408,0,3,,
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2016,6,June,June-2016,1418,0,31,,
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2016,5,May,May-2016,1333,0,9,,
B03105,MAZNA TRANSPORTATION CORPORATION,,2022,3,March,March-2022,437,0,15,,
B02931,NEW TECHNOLOGY TRANSPORTATION INC.,,2019,3,March,March-2019,14353,0,66,,
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2016,12,December,December-2016,9986,0,55,,
B02273,BENI'S LIMOUSINE SERVICE INC,,2018,9,September,September-2018,23,0,4,,
B01231,GO CAR CORP.,,2017,6,June,June-2017,5211,0,28,,
B00255,CAUTIOUS CARS INC.,,2017,2,February,February-2017,230,0,15,,
B01525,NORTHSIDE BK LLC,,2018,2,February,February-2018,5603,0,118,,
B01693,ABT LIMOUSINE SERVICE INC,,2019,11,November,November-2019,53,0,11,,
B01349,CAPRICORN LIMO SVC INC,,2021,9,September,September-2021,533,0,8,,
B00597,WAKEFIELD LSG MAINT CORP,,2018,9,September,September-2018,1342,0,10,,
B02980,ADVANTAGE LIMO OF NY INC,,2019,10,October,October-2019,153,0,5,,
B03081,DLS CAR AND LIMOUSINE SERVICE CORP,ALL TRANSFERS SERVICE,2018,2,February,February-2018,96,0,7,,
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2018,7,July,July-2018,11371,0,119,,
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2015,4,April,April-2015,15978,0,9,,
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2018,5,May,May-2018,2619,0,15,,
B03016,BEST DEAL BLACK INC.,,2020,12,December,December-2020,26821,0,153,,
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2016,3,March,March-2016,57974,0,688,,
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2020,7,July,July-2020,31,0,3,,
B01606,LA MEXICANA EXPRESS INC.,,2021,2,February,February-2021,1860,0,11,,
LYFT,LYFT,LYFT,2017,5,May,May-2017,1934661,0,24962,,
VIA,VIA,VIA,2020,12,December,December-2020,127295,0,3489,,
B02760,VISMAR RADIO DISPATCH INC.,,2019,7,July,July-2019,139,0,3,,
B01989,"ICS-NY, INC.",,2017,1,January,January-2017,331,0,21,,
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2015,7,July,July-2015,686,0,63,,
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2016,7,July,July-2016,244,0,4,,
B03033,FLEX EXPRESS CORP.,,2020,3,March,March-2020,2721,0,25,,
b00855,MAGNIFICENT 7'S ENTP INC,,2019,1,January,January-2019,1176,0,5,,
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2019,2,February,February-2019,16837,0,111,,
B02794,ASAP LUXE INC,,2021,9,September,September-2021,2363,0,13,,
B02145,NEW 2020 CAR SERVICE INC,,2017,3,March,March-2017,1816,0,13,,
B00013,LOVE CORPORATE CAR INC,,2019,8,August,August-2019,2173,0,87,,
B02670,STRIDE TRANSPORTATION INC.,,2015,11,November,November-2015,794,0,35,,
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2017,7,July,July-2017,33,0,6,,
B02634,VETERANS RADIO DISPATCHER CORP.,,2018,3,March,March-2018,7068,0,42,,
B00037,TRANSP UNLIMITED C/S,,2018,10,October,October-2018,6120,0,24,,
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,,2021,6,June,June-2021,227,0,12,,
B02736,TRINITY CAR SERVICE INC,,2019,9,September,September-2019,586,0,7,,
B02096,"CET GROUP, INC",,2021,8,August,August-2021,122,0,39,,
B01540,ROCKAWAY VIP SERVICE INC.,,2017,9,September,September-2017,5308,0,19,,
B02929,OTTOMAN TRANSPORTATION INC.,,2021,2,February,February-2021,194,0,6,,
B02856,MARIACHI CAR SERVICE INC,,2018,2,February,February-2018,4909,0,12,,
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,2021,1,January,January-2021,71,0,9,,
B00369,BOULEVARD OPERATING INC.,,2018,10,October,October-2018,241,0,4,,
B01231,GO CAR CORP.,,2017,2,February,February-2017,6496,0,35,,
B03061,BLUE EAGLE TRANSPORTATION SERVICES CORP,,2018,12,December,December-2018,487,0,24,,
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2018,8,August,August-2018,25,0,4,,
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2019,1,January,January-2019,11440,0,53,,
B02913,DAT TRANSPORTATION INC.,,2016,10,October,October-2016,191,0,11,,
B02026,A RIDE FOR ALL LLC,,2018,4,April,April-2018,56,0,1,,
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2020,2,February,February-2020,557,0,4,,
B00411,FONE-A-CAR INC,,2016,11,November,November-2016,1403,0,57,,
B02760,VISMAR RADIO DISPATCH INC.,,2018,7,July,July-2018,280,0,6,,
B01065,EL BARRIO'S CAR SERVICE LLC,,2021,2,February,February-2021,7161,0,47,,
B00559,7 OCEAN EXPRESS INC.,,2020,6,June,June-2020,49,0,10,,
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2017,5,May,May-2017,11632,0,54,,
B02491,CALL THREES LLC,,2019,1,January,January-2019,80,0,3,,
B00039,BERMUDA LIMOUSINE SERVICE INC.,,2016,10,October,October-2016,1321,0,51,,
B02972,BLESSING TRANSPORTATION GROUP INC,,2021,11,November,November-2021,1775,0,22,,
B03187,A & J CAR SERVICE CORP,,2020,1,January,January-2020,1,0,1,,
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2018,11,November,November-2018,2305,0,15,,
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2021,5,May,May-2021,554,0,3,,
B00937,RIVERSIDE RADIO DISPATCHER,,2020,10,October,October-2020,14550,0,82,,
B02346,PIA CAR LIMO. INC.,,2016,9,September,September-2016,98,0,4,,
B01091,A & R GOLDEN EXP INC,,2018,11,November,November-2018,2754,0,6,,
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2020,1,January,January-2020,7531,0,58,,
B02846,DLS TRANSPORTATION CORP.,,2020,6,June,June-2020,3003,0,24,,
B01454,FREEDOM LIMO & CAR SERVICE,,2016,7,July,July-2016,17961,0,73,,
B02825,GUADALUPANA II CAR & LIMO INC,,2021,11,November,November-2021,3241,0,17,,
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2018,3,March,March-2018,1326,0,9,,
b00802,BELL CAR SVC INC,,2016,8,August,August-2016,15670,0,56,,
B03292,PIBE TRANSPORTATION INC.,,2020,11,November,November-2020,1314,0,20,,
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,4,April,April-2018,487,0,2,,
B01424,EAGLE CAR & LIMO LTD.,,2020,3,March,March-2020,82,0,1,,
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2020,11,November,November-2020,21916,0,140,,
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2018,10,October,October-2018,1145,0,13,,
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2019,1,January,January-2019,14679,0,69,,
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2018,3,March,March-2018,1144,0,10,,
B02480,WOODHAVEN LIMOUSINE INC,,2019,1,January,January-2019,17,0,5,,
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,10,October,October-2015,35341,0,170,,
B00597,WAKEFIELD LSG MAINT CORP,,2022,2,February,February-2022,508,0,4,,
B03094,"JBE LIMO, INC",,2018,4,April,April-2018,26,0,7,,
B01389,METRO LUXURY INC,,2017,11,November,November-2017,13669,0,257,,
B02747,LEGEND LUXURY LIMO INC.,,2022,2,February,February-2022,73,0,33,,
B00597,WAKEFIELD LSG MAINT CORP,,2019,8,August,August-2019,638,0,8,,
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2016,9,September,September-2016,4160,0,22,,
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2018,2,February,February-2018,1448,0,32,,
B02034,NEW IMPERIAL CAR SERVICE INC,,2015,12,December,December-2015,2534,0,15,,
