Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B00225,DELANCEY TRANSPORTATION INC.,,2020,9,September,September-2020,7392,0,69,,
B00412,NYC 2 WAY INTERNATIONAL LTD,,2020,11,November,November-2020,6553,0,100,,
B03020,5J TRANSPORTATION INC.,,2020,2,February,February-2020,1094,0,10,,
B01061,DAT RADIO DISP INC,,2021,11,November,November-2021,10624,0,55,,
B01413,SFL INC,,2017,8,August,August-2017,1119,0,38,,
B01346,ARECIBO C/S INC,,2017,8,August,August-2017,19456,0,156,,
B02590,LUXOR LIMO INC,,2016,5,May,May-2016,1885,0,34,,
B02629,CARLUX LIMO INC.,,2019,9,September,September-2019,303,0,19,,
B02924,CELEBRITY LUXURY INC.,,2019,12,December,December-2019,68,0,19,,
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2017,3,March,March-2017,46249,0,319,,
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2015,11,November,November-2015,23806,0,146,,
B00932,NATASHAS GRP CAR CORP,,2017,3,March,March-2017,4848,0,26,,
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2021,4,April,April-2021,1147,0,19,,
b00855,MAGNIFICENT 7'S ENTP INC,,2016,5,May,May-2016,246,0,7,,
b01057,NEW AMERICAN C/L SVC,,2016,5,May,May-2016,1399,0,11,,
B00653,ROYAL CAR & LIMO SERVICE INC.,,2018,3,March,March-2018,686,0,8,,
B01970,GRAFE STREET SERVICE CORP.,,2015,7,July,July-2015,293,0,12,,
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2015,10,October,October-2015,24189,0,94,,
B03051,VILLE DE LA LIBERTE CHAUFFEUR INC,,2017,9,September,September-2017,1241,0,5,,
B03062,BQN VOUCHER INC,,2021,4,April,April-2021,1338,0,10,,
B02760,VISMAR RADIO DISPATCH INC.,,2020,10,October,October-2020,17,0,3,,
B00272,BIG APPLE CAR INC,,2018,2,February,February-2018,2893,0,111,,
B02228,SPECIAL RADIO DISP.CORP.,,2019,12,December,December-2019,20,0,5,,
B02160,"12TH STREET LUXURY CARS, INC.",,2017,12,December,December-2017,98,0,21,,
B02809,NBT TRANSPORTATION INC,,2016,9,September,September-2016,1747,0,17,,
B03202,JUPITER SELECT LLC,,2021,8,August,August-2021,799,0,7,,
B03011,GOOD DAY TRANSPORTATION INC,,2021,6,June,June-2021,220,0,4,,
B02167,MADISON LIMOUSINE INC,,2018,9,September,September-2018,74,0,5,,
B02182,"FINEST CAR SERVICE, LLC",,2018,7,July,July-2018,7329,0,69,,
B01263,"RACHEL'S CAR SERVICE,INC.",,2019,7,July,July-2019,877,0,7,,
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2021,3,March,March-2021,809,0,3,,
B00202,"EXCELSIOR CAR & LIMO, INC.",,2017,11,November,November-2017,516,0,20,,
B00222,"REYNO CAR SVC, INC.",,2016,11,November,November-2016,6221,0,39,,
B00350,CHAMPION CAR & LIMO SVC. INC.,,2017,3,March,March-2017,9615,0,46,,
B00481,806 SERVICE LLC,18TH AVENUE PRIVATE CAR SERVICE INC,2017,3,March,March-2017,1561,0,9,,
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2016,12,December,December-2016,5317,0,35,,
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2018,2,February,February-2018,5771,0,39,,
B02138,"GUADALUPANA CAR LIMO, INC",,2015,11,November,November-2015,6466,0,26,,
B03327,DAHLIA TRANSPORTATION CORP.,,2021,7,July,July-2021,209,0,4,,
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",,2020,9,September,September-2020,79,0,9,,
B02103,A & S LIMOUSINE SERVICE CORP,,2021,9,September,September-2021,194,0,3,,
B03170,PAISA CLASSIC BLACK INC.,,2020,1,January,January-2020,4,0,3,,
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2019,4,April,April-2019,83,0,5,,
B01768,NEW SUPERIOR RADIO GRP CORP,,2016,8,August,August-2016,9290,0,62,,
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2020,4,April,April-2020,3045,0,12,,
B02509,NY MINUTE CAR SERVICE INC.,,2020,3,March,March-2020,10522,0,77,,
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,2017,8,August,August-2017,754,0,11,,
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,2015,12,December,December-2015,153,0,16,,
B01777,PREMIUM RADIO DISP & MULTI SVC,,2017,11,November,November-2017,16675,0,173,,
